method,task,regime,split,success,success_ci95,contact_mode_f1,contact_mode_f1_ci95,boundary_error,boundary_error_ci95,unsafe_impulse,unsafe_impulse_ci95,jam_rate,jam_rate_ci95,slip_overshoot,slip_overshoot_ci95,intervention_cost,intervention_cost_ci95,data_efficiency_proxy,data_efficiency_proxy_ci95,groups
no_contact_behavior_clone,peg_insertion,contact_jamming,seen_shift,0.369,0.0292,0.2361,0.0099,0.3426,0.0044,0.1028,0.0034,0.1552,0.0042,0.0713,0.004,0.1358,0.0,0.2565,0.0061,7
no_contact_behavior_clone,peg_insertion,contact_jamming,unseen_geometry,0.318,0.0557,0.2272,0.0028,0.3617,0.006,0.1186,0.004,0.1877,0.0038,0.0749,0.0032,0.1422,0.0,0.2482,0.0045,7
no_contact_behavior_clone,peg_insertion,contact_jamming,unseen_friction,0.3537,0.0413,0.2188,0.0083,0.3612,0.0016,0.1149,0.0021,0.1662,0.0047,0.1148,0.0038,0.1458,0.0,0.2412,0.0064,7
no_contact_behavior_clone,peg_insertion,contact_jamming,combined_stress,0.2925,0.0296,0.2182,0.0056,0.3816,0.0029,0.1329,0.0031,0.2048,0.0039,0.1187,0.0045,0.1567,0.0,0.2324,0.0036,7
no_contact_behavior_clone,peg_insertion,release_snap,nominal,0.3793,0.0382,0.2411,0.0099,0.3472,0.0039,0.1017,0.0025,0.0888,0.0035,0.0529,0.0041,0.1228,0.0,0.2649,0.004,7
no_contact_behavior_clone,peg_insertion,release_snap,seen_shift,0.3997,0.0325,0.2376,0.0027,0.3678,0.0027,0.1233,0.0028,0.1085,0.0035,0.0667,0.0052,0.1354,0.0,0.2507,0.0024,7
no_contact_behavior_clone,peg_insertion,release_snap,unseen_geometry,0.3231,0.0468,0.2298,0.0042,0.4002,0.0021,0.1467,0.0019,0.121,0.0051,0.0719,0.0036,0.1418,0.0,0.2508,0.0046,7
no_contact_behavior_clone,peg_insertion,release_snap,unseen_friction,0.3537,0.0317,0.2237,0.0084,0.3924,0.0033,0.1354,0.0031,0.1219,0.0042,0.1168,0.0052,0.1454,0.0,0.2438,0.0077,7
no_contact_behavior_clone,peg_insertion,release_snap,combined_stress,0.2721,0.0187,0.2032,0.0095,0.4175,0.0062,0.1679,0.004,0.1433,0.0033,0.1189,0.0031,0.1563,0.0,0.2345,0.0077,7
no_contact_behavior_clone,peg_insertion,combined_contact_shock,nominal,0.3912,0.0523,0.2432,0.0055,0.3656,0.0034,0.107,0.0025,0.1257,0.0035,0.0637,0.0046,0.1242,0.0,0.26,0.0089,7
no_contact_behavior_clone,peg_insertion,combined_contact_shock,seen_shift,0.3265,0.0449,0.2311,0.0055,0.3952,0.0026,0.1319,0.0036,0.1526,0.0023,0.0897,0.0038,0.1372,0.0,0.2554,0.0051,7
no_contact_behavior_clone,peg_insertion,combined_contact_shock,unseen_geometry,0.2823,0.0437,0.2281,0.0096,0.4241,0.0051,0.1627,0.0012,0.1836,0.0037,0.0934,0.003,0.1437,0.0,0.2454,0.0049,7
no_contact_behavior_clone,peg_insertion,combined_contact_shock,unseen_friction,0.284,0.0303,0.2244,0.0055,0.4236,0.0044,0.1477,0.0024,0.1734,0.0047,0.1433,0.0025,0.1474,0.0,0.2395,0.0053,7
no_contact_behavior_clone,peg_insertion,combined_contact_shock,combined_stress,0.2092,0.0183,0.2147,0.0077,0.452,0.0041,0.1829,0.0024,0.2046,0.0042,0.1488,0.0035,0.1586,0.0,0.2346,0.0045,7
no_contact_behavior_clone,drawer_opening,nominal_contact,nominal,0.5,0.0391,0.2455,0.0121,0.2765,0.004,0.0384,0.0026,0.0616,0.0041,0.0388,0.0048,0.1137,0.0,0.2614,0.0059,7
no_contact_behavior_clone,drawer_opening,nominal_contact,seen_shift,0.4813,0.0321,0.2271,0.009,0.2866,0.0042,0.0461,0.0035,0.0771,0.0042,0.057,0.0039,0.1241,0.0,0.2561,0.0084,7
no_contact_behavior_clone,drawer_opening,nominal_contact,unseen_geometry,0.4541,0.0622,0.2265,0.0069,0.296,0.0026,0.0472,0.0028,0.085,0.0033,0.0652,0.0023,0.1292,0.0,0.2478,0.0064,7
no_contact_behavior_clone,drawer_opening,nominal_contact,unseen_friction,0.4609,0.0437,0.2201,0.0058,0.2988,0.0043,0.0506,0.0038,0.084,0.004,0.1038,0.0033,0.1322,0.0,0.2407,0.0075,7
no_contact_behavior_clone,drawer_opening,nominal_contact,combined_stress,0.4269,0.0382,0.2067,0.0048,0.3084,0.0042,0.0523,0.0039,0.0972,0.0043,0.1071,0.0035,0.1411,0.0,0.2315,0.0064,7
no_contact_behavior_clone,drawer_opening,impact_onset,nominal,0.4813,0.0458,0.2476,0.0086,0.3241,0.0081,0.0875,0.0021,0.0825,0.0027,0.0433,0.0046,0.1222,0.0,0.2597,0.0078,7
no_contact_behavior_clone,drawer_opening,impact_onset,seen_shift,0.3963,0.034,0.2358,0.0071,0.3422,0.0052,0.1102,0.004,0.1023,0.0035,0.059,0.0037,0.1348,0.0,0.2551,0.005,7
no_contact_behavior_clone,drawer_opening,impact_onset,unseen_geometry,0.3776,0.0431,0.2306,0.0094,0.367,0.0044,0.1305,0.0035,0.116,0.0034,0.0666,0.0054,0.141,0.0,0.2495,0.0059,7
no_contact_behavior_clone,drawer_opening,impact_onset,unseen_friction,0.3656,0.0159,0.225,0.0052,0.3607,0.0049,0.1232,0.0026,0.1179,0.0033,0.1052,0.0026,0.1446,0.0,0.2473,0.0068,7
no_contact_behavior_clone,drawer_opening,impact_onset,combined_stress,0.381,0.0265,0.2091,0.0053,0.3846,0.0044,0.1481,0.0026,0.1356,0.0047,0.1108,0.0034,0.1553,0.0,0.2374,0.0048,7
no_contact_behavior_clone,drawer_opening,stick_slip_transition,nominal,0.4354,0.0278,0.2503,0.0135,0.3202,0.0041,0.0669,0.0029,0.0755,0.0066,0.0782,0.0041,0.1214,0.0,0.2579,0.0027,7
no_contact_behavior_clone,drawer_opening,stick_slip_transition,seen_shift,0.4286,0.026,0.2358,0.0058,0.343,0.0032,0.0815,0.003,0.0989,0.0029,0.1022,0.0035,0.1337,0.0,0.254,0.0078,7
no_contact_behavior_clone,drawer_opening,stick_slip_transition,unseen_geometry,0.381,0.0374,0.2216,0.007,0.3498,0.0024,0.0941,0.0019,0.1122,0.0034,0.1069,0.004,0.1399,0.0,0.2429,0.0031,7
no_contact_behavior_clone,drawer_opening,stick_slip_transition,unseen_friction,0.3486,0.038,0.2243,0.0118,0.3724,0.0039,0.09,0.0019,0.1131,0.0053,0.1687,0.0036,0.1434,0.0,0.2419,0.0065,7
no_contact_behavior_clone,drawer_opening,stick_slip_transition,combined_stress,0.3333,0.0326,0.2134,0.0054,0.3837,0.0054,0.1078,0.0031,0.1314,0.0036,0.1682,0.0037,0.154,0.0,0.2363,0.003,7
no_contact_behavior_clone,drawer_opening,unilateral_lift_off,nominal,0.449,0.03,0.2426,0.0076,0.3001,0.0042,0.0666,0.0045,0.0682,0.0037,0.0515,0.0025,0.1198,0.0,0.2658,0.0076,7
no_contact_behavior_clone,drawer_opening,unilateral_lift_off,seen_shift,0.4439,0.0403,0.2394,0.0053,0.3185,0.0033,0.0794,0.004,0.0888,0.004,0.0713,0.0048,0.1317,0.0,0.2473,0.0047,7
no_contact_behavior_clone,drawer_opening,unilateral_lift_off,unseen_geometry,0.3486,0.0686,0.2222,0.0044,0.3307,0.0052,0.0944,0.0022,0.099,0.0028,0.0795,0.004,0.1376,0.0,0.2472,0.0034,7
no_contact_behavior_clone,drawer_opening,unilateral_lift_off,unseen_friction,0.3895,0.0268,0.2247,0.0069,0.3294,0.0029,0.0873,0.0032,0.096,0.0039,0.1206,0.0018,0.141,0.0,0.2391,0.0067,7
no_contact_behavior_clone,drawer_opening,unilateral_lift_off,combined_stress,0.3707,0.052,0.2116,0.0104,0.346,0.0058,0.1012,0.0019,0.1133,0.0056,0.123,0.0032,0.1512,0.0,0.2311,0.0045,7
no_contact_behavior_clone,drawer_opening,contact_jamming,nominal,0.4269,0.051,0.2508,0.0068,0.3104,0.0023,0.0775,0.0038,0.1073,0.0024,0.0512,0.0043,0.1231,0.0,0.2637,0.0055,7
no_contact_behavior_clone,drawer_opening,contact_jamming,seen_shift,0.3946,0.0303,0.237,0.0109,0.3304,0.0084,0.0925,0.0025,0.1348,0.0032,0.0755,0.0053,0.1358,0.0,0.2534,0.0057,7
no_contact_behavior_clone,drawer_opening,contact_jamming,unseen_geometry,0.3605,0.0237,0.2236,0.0059,0.3395,0.0046,0.1051,0.0049,0.1641,0.0029,0.0798,0.0039,0.1422,0.0,0.2434,0.0076,7
no_contact_behavior_clone,drawer_opening,contact_jamming,unseen_friction,0.3537,0.0141,0.2189,0.0059,0.3431,0.0051,0.1042,0.0026,0.1465,0.005,0.1285,0.0037,0.1458,0.0,0.2422,0.0064,7
no_contact_behavior_clone,drawer_opening,contact_jamming,combined_stress,0.2925,0.0321,0.2078,0.008,0.3626,0.0035,0.1214,0.0019,0.18,0.0025,0.1292,0.0046,0.1567,0.0,0.233,0.0067,7
no_contact_behavior_clone,drawer_opening,release_snap,nominal,0.4405,0.0555,0.2471,0.0068,0.3286,0.0038,0.0836,0.0037,0.0766,0.0039,0.0526,0.0028,0.1228,0.0,0.2609,0.0061,7
no_contact_behavior_clone,drawer_opening,release_snap,seen_shift,0.3912,0.0389,0.2319,0.0059,0.347,0.0025,0.1067,0.0038,0.0969,0.0026,0.0755,0.0017,0.1354,0.0,0.249,0.0085,7
no_contact_behavior_clone,drawer_opening,release_snap,unseen_geometry,0.3469,0.0206,0.2283,0.0051,0.3617,0.0052,0.1251,0.0031,0.1062,0.0028,0.0804,0.0043,0.1418,0.0,0.2412,0.0068,7
no_contact_behavior_clone,drawer_opening,release_snap,unseen_friction,0.3741,0.0203,0.2198,0.0098,0.364,0.0043,0.1196,0.002,0.1065,0.0047,0.1273,0.0022,0.1454,0.0,0.2405,0.0053,7
no_contact_behavior_clone,drawer_opening,release_snap,combined_stress,0.2789,0.0296,0.2014,0.006,0.3861,0.0048,0.1418,0.002,0.1247,0.0028,0.1303,0.0035,0.1563,0.0,0.2329,0.0049,7
no_contact_behavior_clone,drawer_opening,combined_contact_shock,nominal,0.4167,0.0426,0.2442,0.0073,0.3488,0.0046,0.0915,0.0022,0.1083,0.0048,0.0741,0.0036,0.1242,0.0,0.2701,0.0054,7
no_contact_behavior_clone,drawer_opening,combined_contact_shock,seen_shift,0.3503,0.0227,0.2373,0.0066,0.3748,0.005,0.1137,0.0026,0.134,0.0033,0.1026,0.0043,0.1372,0.0,0.2489,0.0054,7
no_contact_behavior_clone,drawer_opening,combined_contact_shock,unseen_geometry,0.3197,0.0523,0.2291,0.0069,0.3939,0.004,0.1363,0.0038,0.1623,0.0032,0.1052,0.0032,0.1437,0.0,0.2444,0.0054,7
no_contact_behavior_clone,drawer_opening,combined_contact_shock,unseen_friction,0.301,0.0278,0.2257,0.0089,0.4005,0.0049,0.1314,0.0025,0.1476,0.0056,0.1618,0.0031,0.1474,0.0,0.2436,0.0039,7
no_contact_behavior_clone,drawer_opening,combined_contact_shock,combined_stress,0.2551,0.0254,0.2097,0.005,0.4239,0.0022,0.1562,0.0031,0.1815,0.0056,0.1628,0.0039,0.1586,0.0,0.2389,0.0044,7
no_contact_behavior_clone,cable_routing,nominal_contact,nominal,0.5153,0.0237,0.2436,0.0082,0.2816,0.0055,0.0396,0.0016,0.0654,0.0045,0.0377,0.0027,0.1137,0.0,0.2664,0.0052,7
no_contact_behavior_clone,cable_routing,nominal_contact,seen_shift,0.4609,0.0309,0.2344,0.0093,0.2942,0.0049,0.0418,0.0029,0.0784,0.0048,0.0601,0.003,0.1241,0.0,0.2491,0.0071,7
no_contact_behavior_clone,cable_routing,nominal_contact,unseen_geometry,0.4473,0.0325,0.2261,0.005,0.2963,0.0018,0.0482,0.0029,0.0872,0.0041,0.066,0.0042,0.1292,0.0,0.2468,0.0073,7
no_contact_behavior_clone,cable_routing,nominal_contact,unseen_friction,0.4626,0.0351,0.2203,0.0088,0.3063,0.0063,0.0453,0.0034,0.0867,0.0039,0.1056,0.003,0.1322,0.0,0.246,0.004,7
no_contact_behavior_clone,cable_routing,nominal_contact,combined_stress,0.3929,0.0288,0.2107,0.0075,0.3092,0.0019,0.0486,0.0041,0.1032,0.0027,0.1083,0.0044,0.1411,0.0,0.2385,0.0046,7
no_contact_behavior_clone,cable_routing,impact_onset,nominal,0.4473,0.036,0.244,0.0077,0.3232,0.005,0.079,0.0014,0.0884,0.0037,0.0442,0.0034,0.1222,0.0,0.2589,0.0088,7
no_contact_behavior_clone,cable_routing,impact_onset,seen_shift,0.4184,0.0482,0.2329,0.0043,0.3464,0.0082,0.0998,0.0018,0.1053,0.0031,0.0622,0.0049,0.1348,0.0,0.2506,0.0051,7
no_contact_behavior_clone,cable_routing,impact_onset,unseen_geometry,0.4014,0.0348,0.2284,0.0062,0.3597,0.0017,0.1184,0.0035,0.1228,0.0039,0.0689,0.0028,0.141,0.0,0.2445,0.0038,7
no_contact_behavior_clone,cable_routing,impact_onset,unseen_friction,0.3571,0.0345,0.2251,0.0084,0.3584,0.0022,0.1154,0.0051,0.1186,0.0023,0.109,0.0034,0.1446,0.0,0.2462,0.0052,7
no_contact_behavior_clone,cable_routing,impact_onset,combined_stress,0.3741,0.0426,0.2092,0.0077,0.3792,0.0043,0.1328,0.004,0.1421,0.0033,0.1098,0.0059,0.1553,0.0,0.2401,0.0057,7
no_contact_behavior_clone,cable_routing,stick_slip_transition,nominal,0.415,0.0382,0.2463,0.0095,0.3307,0.0028,0.0654,0.0029,0.0777,0.0032,0.0851,0.0046,0.1214,0.0,0.2606,0.0042,7
no_contact_behavior_clone,cable_routing,stick_slip_transition,seen_shift,0.4167,0.0517,0.2268,0.0084,0.3505,0.002,0.0788,0.0051,0.0981,0.0067,0.1138,0.0019,0.1337,0.0,0.2493,0.005,7
no_contact_behavior_clone,cable_routing,stick_slip_transition,unseen_geometry,0.3503,0.0349,0.2279,0.0102,0.3606,0.0069,0.0857,0.0015,0.1145,0.0022,0.116,0.0045,0.1399,0.0,0.2421,0.0045,7
no_contact_behavior_clone,cable_routing,stick_slip_transition,unseen_friction,0.3588,0.0365,0.2203,0.0058,0.3803,0.0054,0.0862,0.0027,0.1114,0.0043,0.1775,0.003,0.1434,0.0,0.2471,0.0062,7
no_contact_behavior_clone,cable_routing,stick_slip_transition,combined_stress,0.3197,0.023,0.2138,0.0067,0.3904,0.0038,0.1035,0.0035,0.1333,0.0029,0.1805,0.0028,0.154,0.0,0.2302,0.0055,7
no_contact_behavior_clone,cable_routing,unilateral_lift_off,nominal,0.4728,0.0352,0.2415,0.0087,0.304,0.0036,0.0599,0.0014,0.0715,0.0038,0.0531,0.0046,0.1198,0.0,0.2573,0.0074,7
no_contact_behavior_clone,cable_routing,unilateral_lift_off,seen_shift,0.3963,0.039,0.2321,0.0037,0.3199,0.0024,0.0734,0.0049,0.0896,0.0038,0.0739,0.0028,0.1317,0.0,0.2515,0.0076,7
no_contact_behavior_clone,cable_routing,unilateral_lift_off,unseen_geometry,0.4014,0.0313,0.2296,0.0081,0.3328,0.0041,0.0834,0.0036,0.098,0.0043,0.0799,0.0046,0.1376,0.0,0.2462,0.0065,7
no_contact_behavior_clone,cable_routing,unilateral_lift_off,unseen_friction,0.3793,0.0236,0.2253,0.0094,0.3374,0.0043,0.0843,0.0022,0.1042,0.0033,0.1235,0.0033,0.141,0.0,0.2433,0.0045,7
no_contact_behavior_clone,cable_routing,unilateral_lift_off,combined_stress,0.3078,0.0379,0.216,0.0056,0.3541,0.0024,0.0935,0.0058,0.1164,0.0049,0.1267,0.0026,0.1512,0.0,0.2292,0.0043,7
no_contact_behavior_clone,cable_routing,contact_jamming,nominal,0.4422,0.0354,0.246,0.0054,0.3112,0.0068,0.073,0.0036,0.1126,0.0029,0.0589,0.003,0.1231,0.0,0.2661,0.007,7
no_contact_behavior_clone,cable_routing,contact_jamming,seen_shift,0.381,0.0314,0.2291,0.0039,0.3317,0.0036,0.0869,0.0025,0.1373,0.0034,0.0787,0.0037,0.1358,0.0,0.2496,0.0024,7
no_contact_behavior_clone,cable_routing,contact_jamming,unseen_geometry,0.3248,0.0373,0.2269,0.0053,0.3401,0.0053,0.0998,0.0039,0.1648,0.0056,0.0814,0.0051,0.1422,0.0,0.2451,0.0032,7
no_contact_behavior_clone,cable_routing,contact_jamming,unseen_friction,0.3129,0.0253,0.221,0.0054,0.3509,0.0055,0.0988,0.0043,0.1501,0.0028,0.1302,0.0036,0.1458,0.0,0.2431,0.006,7
no_contact_behavior_clone,cable_routing,contact_jamming,combined_stress,0.2959,0.0552,0.2071,0.0064,0.3646,0.0054,0.1145,0.0022,0.1801,0.003,0.1349,0.0029,0.1567,0.0,0.2325,0.0075,7
no_contact_behavior_clone,cable_routing,release_snap,nominal,0.4354,0.0491,0.2424,0.0078,0.3246,0.0055,0.0794,0.0033,0.0789,0.0035,0.0575,0.0037,0.1228,0.0,0.2651,0.009,7
no_contact_behavior_clone,cable_routing,release_snap,seen_shift,0.3946,0.0376,0.2304,0.0077,0.3479,0.0044,0.0964,0.0026,0.0975,0.0041,0.0778,0.0049,0.1354,0.0,0.2493,0.0065,7
no_contact_behavior_clone,cable_routing,release_snap,unseen_geometry,0.3282,0.0407,0.2158,0.0043,0.3633,0.0058,0.11,0.003,0.1126,0.0034,0.0852,0.0048,0.1418,0.0,0.2462,0.004,7
no_contact_behavior_clone,cable_routing,release_snap,unseen_friction,0.3435,0.0503,0.215,0.01,0.3703,0.0051,0.1104,0.0037,0.114,0.0034,0.1356,0.004,0.1454,0.0,0.2395,0.0066,7
no_contact_behavior_clone,cable_routing,release_snap,combined_stress,0.2704,0.0516,0.2165,0.0078,0.3853,0.004,0.1294,0.002,0.1285,0.0041,0.1324,0.0033,0.1563,0.0,0.2335,0.006,7
no_contact_behavior_clone,cable_routing,combined_contact_shock,nominal,0.4201,0.06,0.2506,0.0086,0.3513,0.0056,0.082,0.0042,0.1091,0.0031,0.0794,0.0041,0.1242,0.0,0.2601,0.0057,7
no_contact_behavior_clone,cable_routing,combined_contact_shock,seen_shift,0.3248,0.0321,0.2336,0.0039,0.3745,0.006,0.1061,0.0023,0.1391,0.0061,0.1031,0.0027,0.1372,0.0,0.2506,0.0054,7
no_contact_behavior_clone,cable_routing,combined_contact_shock,unseen_geometry,0.3248,0.0393,0.2287,0.008,0.3915,0.0063,0.1211,0.0024,0.1623,0.0022,0.1122,0.0047,0.1437,0.0,0.2465,0.0089,7
no_contact_behavior_clone,cable_routing,combined_contact_shock,unseen_friction,0.2806,0.0321,0.2234,0.0058,0.4073,0.0047,0.1198,0.0017,0.1578,0.0035,0.172,0.0049,0.1474,0.0,0.2347,0.0087,7
no_contact_behavior_clone,cable_routing,combined_contact_shock,combined_stress,0.2602,0.0362,0.2096,0.0036,0.4297,0.0053,0.1378,0.0016,0.1836,0.0037,0.1735,0.0036,0.1586,0.0,0.2342,0.0068,7
no_contact_behavior_clone,tool_levering,nominal_contact,nominal,0.4303,0.0389,0.246,0.0069,0.2814,0.0042,0.0448,0.0033,0.0609,0.0023,0.0366,0.0017,0.1137,0.0,0.2589,0.0064,7
no_contact_behavior_clone,tool_levering,nominal_contact,seen_shift,0.4388,0.0285,0.2285,0.0057,0.2914,0.0055,0.0478,0.003,0.0741,0.0043,0.0577,0.0038,0.1241,0.0,0.2527,0.0072,7
no_contact_behavior_clone,tool_levering,nominal_contact,unseen_geometry,0.4286,0.0378,0.2174,0.0084,0.3002,0.0058,0.0552,0.0036,0.0841,0.002,0.0628,0.0036,0.1292,0.0,0.2388,0.0079,7
no_contact_behavior_clone,tool_levering,nominal_contact,unseen_friction,0.415,0.0379,0.2212,0.0055,0.303,0.0033,0.0526,0.0025,0.0863,0.0038,0.0995,0.002,0.1322,0.0,0.2416,0.0048,7
no_contact_behavior_clone,tool_levering,nominal_contact,combined_stress,0.3912,0.0393,0.2023,0.0111,0.3104,0.0052,0.057,0.0031,0.0992,0.0034,0.1072,0.0026,0.1411,0.0,0.2307,0.0039,7
no_contact_behavior_clone,tool_levering,impact_onset,nominal,0.4881,0.0488,0.2468,0.0066,0.3462,0.0055,0.107,0.0041,0.0832,0.0032,0.0372,0.0033,0.1222,0.0,0.2593,0.0076,7
no_contact_behavior_clone,tool_levering,impact_onset,seen_shift,0.3741,0.0321,0.2359,0.0067,0.3785,0.0057,0.1408,0.0026,0.1052,0.0041,0.0571,0.0057,0.1348,0.0,0.2484,0.0097,7
no_contact_behavior_clone,tool_levering,impact_onset,unseen_geometry,0.3095,0.0576,0.2241,0.0032,0.4041,0.0057,0.1695,0.0036,0.119,0.0044,0.0653,0.0045,0.141,0.0,0.2464,0.0066,7
no_contact_behavior_clone,tool_levering,impact_onset,unseen_friction,0.3316,0.0454,0.2212,0.0076,0.3908,0.0033,0.1491,0.0024,0.1189,0.0028,0.1037,0.0023,0.1446,0.0,0.2383,0.0035,7
no_contact_behavior_clone,tool_levering,impact_onset,combined_stress,0.2993,0.0457,0.2128,0.007,0.4171,0.005,0.1851,0.0019,0.1362,0.0039,0.1027,0.0035,0.1553,0.0,0.2415,0.0064,7
no_contact_behavior_clone,tool_levering,stick_slip_transition,nominal,0.4558,0.015,0.2435,0.0027,0.3269,0.0028,0.0745,0.003,0.0763,0.0027,0.0658,0.0051,0.1214,0.0,0.2683,0.0075,7
no_contact_behavior_clone,tool_levering,stick_slip_transition,seen_shift,0.3997,0.0435,0.2335,0.0083,0.3473,0.007,0.0926,0.0029,0.0966,0.0028,0.0906,0.003,0.1337,0.0,0.252,0.0055,7
no_contact_behavior_clone,tool_levering,stick_slip_transition,unseen_geometry,0.381,0.0314,0.2332,0.0086,0.3659,0.0051,0.1079,0.0035,0.1098,0.0035,0.0966,0.0031,0.1399,0.0,0.247,0.0044,7
no_contact_behavior_clone,tool_levering,stick_slip_transition,unseen_friction,0.3588,0.0246,0.2207,0.0041,0.37,0.0042,0.1009,0.0032,0.1079,0.0018,0.1513,0.0019,0.1434,0.0,0.242,0.0055,7
no_contact_behavior_clone,tool_levering,stick_slip_transition,combined_stress,0.284,0.0365,0.2022,0.0055,0.3858,0.0043,0.1203,0.003,0.1293,0.0035,0.1541,0.0049,0.154,0.0,0.2337,0.0046,7
no_contact_behavior_clone,tool_levering,unilateral_lift_off,nominal,0.4592,0.0407,0.241,0.0079,0.3151,0.0039,0.08,0.0035,0.0702,0.0042,0.0478,0.0031,0.1198,0.0,0.2649,0.0076,7
no_contact_behavior_clone,tool_levering,unilateral_lift_off,seen_shift,0.4014,0.0619,0.2337,0.0069,0.3318,0.0029,0.0956,0.004,0.0854,0.0022,0.0657,0.004,0.1317,0.0,0.2492,0.0047,7
