method,task,regime,split,seed,episodes,success,success_probability,contact_mode_f1,boundary_error,unsafe_impulse,jam_rate,slip_overshoot,intervention_cost,data_efficiency_proxy
no_contact_behavior_clone,peg_insertion,nominal_contact,unseen_friction,0,84,0.4048,0.4287,0.2287,0.3004,0.0585,0.0864,0.0978,0.1322,0.2573
no_contact_behavior_clone,peg_insertion,nominal_contact,unseen_friction,1,84,0.3571,0.4248,0.204,0.2998,0.0521,0.0889,0.0961,0.1322,0.25
no_contact_behavior_clone,peg_insertion,nominal_contact,unseen_friction,2,84,0.3571,0.4207,0.2203,0.3062,0.0512,0.098,0.0988,0.1322,0.2477
no_contact_behavior_clone,peg_insertion,nominal_contact,unseen_friction,3,84,0.4405,0.4218,0.219,0.3015,0.0521,0.096,0.0997,0.1322,0.248
no_contact_behavior_clone,peg_insertion,nominal_contact,unseen_friction,4,84,0.381,0.4238,0.2261,0.3059,0.0444,0.0892,0.097,0.1322,0.246
no_contact_behavior_clone,peg_insertion,nominal_contact,unseen_friction,5,84,0.3214,0.4285,0.2304,0.2995,0.0532,0.0881,0.098,0.1322,0.2555
no_contact_behavior_clone,peg_insertion,nominal_contact,unseen_friction,6,84,0.3571,0.415,0.2179,0.3084,0.0515,0.1019,0.1077,0.1322,0.2475
no_contact_behavior_clone,peg_insertion,nominal_contact,combined_stress,0,84,0.5119,0.4009,0.2052,0.315,0.0611,0.1135,0.1017,0.1411,0.2338
no_contact_behavior_clone,peg_insertion,nominal_contact,combined_stress,1,84,0.369,0.4,0.2079,0.3208,0.0578,0.1125,0.1056,0.1411,0.2229
no_contact_behavior_clone,peg_insertion,nominal_contact,combined_stress,2,84,0.3214,0.3864,0.2089,0.3017,0.057,0.1175,0.0963,0.1411,0.2299
no_contact_behavior_clone,peg_insertion,nominal_contact,combined_stress,3,84,0.369,0.3879,0.2026,0.3157,0.0583,0.1086,0.103,0.1411,0.2346
no_contact_behavior_clone,peg_insertion,nominal_contact,combined_stress,4,84,0.381,0.39,0.217,0.3142,0.0599,0.1109,0.0994,0.1411,0.2117
no_contact_behavior_clone,peg_insertion,nominal_contact,combined_stress,5,84,0.369,0.3907,0.2203,0.3064,0.0544,0.0965,0.1049,0.1411,0.2346
no_contact_behavior_clone,peg_insertion,nominal_contact,combined_stress,6,84,0.4167,0.3918,0.2018,0.3237,0.0495,0.1034,0.1125,0.1411,0.2306
no_contact_behavior_clone,peg_insertion,impact_onset,nominal,0,84,0.4762,0.4305,0.2293,0.3571,0.1092,0.0932,0.0464,0.1222,0.2483
no_contact_behavior_clone,peg_insertion,impact_onset,nominal,1,84,0.381,0.4282,0.2408,0.349,0.1031,0.0858,0.0432,0.1222,0.2589
no_contact_behavior_clone,peg_insertion,impact_onset,nominal,2,84,0.4167,0.4314,0.258,0.3482,0.1109,0.0876,0.0425,0.1222,0.2596
no_contact_behavior_clone,peg_insertion,impact_onset,nominal,3,84,0.3571,0.4334,0.2291,0.3531,0.1097,0.1029,0.0378,0.1222,0.2588
no_contact_behavior_clone,peg_insertion,impact_onset,nominal,4,84,0.4167,0.4361,0.2233,0.3556,0.0965,0.095,0.0373,0.1222,0.2503
no_contact_behavior_clone,peg_insertion,impact_onset,nominal,5,84,0.4881,0.4261,0.2537,0.3586,0.1047,0.0931,0.0395,0.1222,0.2615
no_contact_behavior_clone,peg_insertion,impact_onset,nominal,6,84,0.5476,0.4338,0.2457,0.3585,0.1007,0.0993,0.0431,0.1222,0.2545
no_contact_behavior_clone,peg_insertion,impact_onset,seen_shift,0,84,0.4524,0.3938,0.2414,0.3786,0.1289,0.1153,0.0532,0.1348,0.2394
no_contact_behavior_clone,peg_insertion,impact_onset,seen_shift,1,84,0.381,0.3888,0.2187,0.3749,0.1334,0.1101,0.0594,0.1348,0.252
no_contact_behavior_clone,peg_insertion,impact_onset,seen_shift,2,84,0.4048,0.3806,0.2154,0.3826,0.1278,0.1223,0.0641,0.1348,0.247
no_contact_behavior_clone,peg_insertion,impact_onset,seen_shift,3,84,0.4048,0.373,0.2529,0.3837,0.1339,0.1129,0.0642,0.1348,0.2499
no_contact_behavior_clone,peg_insertion,impact_onset,seen_shift,4,84,0.4048,0.3825,0.2217,0.3864,0.1334,0.1031,0.0584,0.1348,0.2441
no_contact_behavior_clone,peg_insertion,impact_onset,seen_shift,5,84,0.4524,0.3872,0.2396,0.3749,0.1282,0.1167,0.0516,0.1348,0.2388
no_contact_behavior_clone,peg_insertion,impact_onset,seen_shift,6,84,0.4167,0.3788,0.2404,0.371,0.1357,0.1239,0.0645,0.1348,0.2512
no_contact_behavior_clone,peg_insertion,impact_onset,unseen_geometry,0,84,0.3929,0.3455,0.2278,0.4021,0.1573,0.1343,0.0582,0.141,0.2497
no_contact_behavior_clone,peg_insertion,impact_onset,unseen_geometry,1,84,0.3452,0.3461,0.2327,0.3974,0.1586,0.129,0.0554,0.141,0.2468
no_contact_behavior_clone,peg_insertion,impact_onset,unseen_geometry,2,84,0.4405,0.3398,0.2328,0.3918,0.1613,0.1245,0.0625,0.141,0.2578
no_contact_behavior_clone,peg_insertion,impact_onset,unseen_geometry,3,84,0.3333,0.3374,0.2223,0.4064,0.1577,0.1363,0.0634,0.141,0.2321
no_contact_behavior_clone,peg_insertion,impact_onset,unseen_geometry,4,84,0.3095,0.3374,0.2436,0.4125,0.1628,0.1306,0.0577,0.141,0.2467
no_contact_behavior_clone,peg_insertion,impact_onset,unseen_geometry,5,84,0.3214,0.3422,0.2198,0.4016,0.1514,0.1322,0.0672,0.141,0.2416
no_contact_behavior_clone,peg_insertion,impact_onset,unseen_geometry,6,84,0.3452,0.3415,0.2332,0.402,0.1457,0.1254,0.0598,0.141,0.2386
no_contact_behavior_clone,peg_insertion,impact_onset,unseen_friction,0,84,0.381,0.3443,0.2148,0.3892,0.1453,0.1299,0.107,0.1446,0.2299
no_contact_behavior_clone,peg_insertion,impact_onset,unseen_friction,1,84,0.25,0.3421,0.221,0.3979,0.1453,0.1242,0.1031,0.1446,0.2553
no_contact_behavior_clone,peg_insertion,impact_onset,unseen_friction,2,84,0.4167,0.3505,0.2239,0.4016,0.1421,0.1252,0.1053,0.1446,0.2358
no_contact_behavior_clone,peg_insertion,impact_onset,unseen_friction,3,84,0.4167,0.34,0.243,0.3989,0.1434,0.1362,0.0984,0.1446,0.2378
no_contact_behavior_clone,peg_insertion,impact_onset,unseen_friction,4,84,0.4048,0.3506,0.2261,0.3886,0.1429,0.1355,0.1066,0.1446,0.2362
no_contact_behavior_clone,peg_insertion,impact_onset,unseen_friction,5,84,0.2857,0.3357,0.2218,0.4041,0.1468,0.1294,0.107,0.1446,0.2528
no_contact_behavior_clone,peg_insertion,impact_onset,unseen_friction,6,84,0.3571,0.3487,0.2235,0.3965,0.1407,0.1311,0.1062,0.1446,0.2384
no_contact_behavior_clone,peg_insertion,impact_onset,combined_stress,0,84,0.2738,0.2894,0.2038,0.4271,0.1745,0.1556,0.101,0.1553,0.2408
no_contact_behavior_clone,peg_insertion,impact_onset,combined_stress,1,84,0.2857,0.2944,0.2215,0.4254,0.1825,0.147,0.1059,0.1553,0.2373
no_contact_behavior_clone,peg_insertion,impact_onset,combined_stress,2,84,0.25,0.2907,0.2002,0.4236,0.1783,0.1587,0.1002,0.1553,0.2422
no_contact_behavior_clone,peg_insertion,impact_onset,combined_stress,3,84,0.2024,0.2866,0.2032,0.4324,0.1728,0.1506,0.1209,0.1553,0.2412
no_contact_behavior_clone,peg_insertion,impact_onset,combined_stress,4,84,0.2857,0.2981,0.2102,0.4272,0.175,0.1487,0.1141,0.1553,0.2427
no_contact_behavior_clone,peg_insertion,impact_onset,combined_stress,5,84,0.2976,0.2913,0.2113,0.4181,0.169,0.1543,0.1022,0.1553,0.217
no_contact_behavior_clone,peg_insertion,impact_onset,combined_stress,6,84,0.3095,0.2964,0.2134,0.4187,0.1743,0.154,0.1081,0.1553,0.2357
no_contact_behavior_clone,peg_insertion,stick_slip_transition,nominal,0,84,0.4643,0.4597,0.2494,0.33,0.0724,0.0926,0.06,0.1214,0.2753
no_contact_behavior_clone,peg_insertion,stick_slip_transition,nominal,1,84,0.4286,0.4522,0.2526,0.3384,0.0721,0.093,0.054,0.1214,0.2526
no_contact_behavior_clone,peg_insertion,stick_slip_transition,nominal,2,84,0.4048,0.4569,0.2203,0.3283,0.0741,0.0869,0.0665,0.1214,0.2737
no_contact_behavior_clone,peg_insertion,stick_slip_transition,nominal,3,84,0.4286,0.4437,0.2541,0.3302,0.0717,0.0952,0.0551,0.1214,0.2518
no_contact_behavior_clone,peg_insertion,stick_slip_transition,nominal,4,84,0.369,0.4437,0.2373,0.3436,0.0717,0.087,0.0676,0.1214,0.2617
no_contact_behavior_clone,peg_insertion,stick_slip_transition,nominal,5,84,0.4405,0.4442,0.246,0.3249,0.0749,0.092,0.076,0.1214,0.2534
no_contact_behavior_clone,peg_insertion,stick_slip_transition,nominal,6,84,0.4881,0.4568,0.2404,0.3344,0.0728,0.0849,0.0712,0.1214,0.2603
no_contact_behavior_clone,peg_insertion,stick_slip_transition,seen_shift,0,84,0.381,0.4033,0.2392,0.3466,0.089,0.1003,0.085,0.1337,0.24
no_contact_behavior_clone,peg_insertion,stick_slip_transition,seen_shift,1,84,0.3929,0.4006,0.234,0.345,0.0885,0.1033,0.0942,0.1337,0.2398
no_contact_behavior_clone,peg_insertion,stick_slip_transition,seen_shift,2,84,0.381,0.3935,0.2358,0.3517,0.0848,0.1078,0.0897,0.1337,0.2505
no_contact_behavior_clone,peg_insertion,stick_slip_transition,seen_shift,3,84,0.4762,0.4149,0.2372,0.3521,0.0896,0.108,0.0898,0.1337,0.246
no_contact_behavior_clone,peg_insertion,stick_slip_transition,seen_shift,4,84,0.4881,0.3866,0.234,0.3559,0.0879,0.1091,0.0854,0.1337,0.2463
no_contact_behavior_clone,peg_insertion,stick_slip_transition,seen_shift,5,84,0.3929,0.3898,0.2096,0.354,0.0936,0.1094,0.0919,0.1337,0.2763
no_contact_behavior_clone,peg_insertion,stick_slip_transition,seen_shift,6,84,0.3929,0.3989,0.2296,0.3654,0.0885,0.1086,0.0885,0.1337,0.2474
no_contact_behavior_clone,peg_insertion,stick_slip_transition,unseen_geometry,0,84,0.3571,0.3692,0.2371,0.3533,0.107,0.1257,0.0941,0.1399,0.2421
no_contact_behavior_clone,peg_insertion,stick_slip_transition,unseen_geometry,1,84,0.369,0.3649,0.2376,0.3552,0.0977,0.1201,0.0845,0.1399,0.2479
no_contact_behavior_clone,peg_insertion,stick_slip_transition,unseen_geometry,2,84,0.4286,0.3643,0.2258,0.363,0.1075,0.1272,0.096,0.1399,0.2542
no_contact_behavior_clone,peg_insertion,stick_slip_transition,unseen_geometry,3,84,0.3452,0.3678,0.2209,0.3594,0.1049,0.1361,0.0936,0.1399,0.255
no_contact_behavior_clone,peg_insertion,stick_slip_transition,unseen_geometry,4,84,0.4643,0.3628,0.2212,0.3703,0.1011,0.1339,0.0911,0.1399,0.2459
no_contact_behavior_clone,peg_insertion,stick_slip_transition,unseen_geometry,5,84,0.4167,0.3582,0.1986,0.3637,0.1043,0.1274,0.0996,0.1399,0.2527
no_contact_behavior_clone,peg_insertion,stick_slip_transition,unseen_geometry,6,84,0.4048,0.372,0.2189,0.3602,0.0985,0.1264,0.0881,0.1399,0.254
no_contact_behavior_clone,peg_insertion,stick_slip_transition,unseen_friction,0,84,0.3095,0.3473,0.2291,0.3805,0.1029,0.1255,0.1564,0.1434,0.2445
no_contact_behavior_clone,peg_insertion,stick_slip_transition,unseen_friction,1,84,0.3333,0.3552,0.2159,0.3716,0.0952,0.1185,0.1474,0.1434,0.2409
no_contact_behavior_clone,peg_insertion,stick_slip_transition,unseen_friction,2,84,0.3333,0.3539,0.2322,0.3762,0.1001,0.1144,0.1532,0.1434,0.2645
no_contact_behavior_clone,peg_insertion,stick_slip_transition,unseen_friction,3,84,0.2976,0.3499,0.226,0.3793,0.1033,0.128,0.1571,0.1434,0.2498
no_contact_behavior_clone,peg_insertion,stick_slip_transition,unseen_friction,4,84,0.381,0.3649,0.2315,0.3819,0.0954,0.1147,0.1478,0.1434,0.2438
no_contact_behavior_clone,peg_insertion,stick_slip_transition,unseen_friction,5,84,0.3333,0.3624,0.2247,0.3776,0.1005,0.1227,0.1442,0.1434,0.241
no_contact_behavior_clone,peg_insertion,stick_slip_transition,unseen_friction,6,84,0.2857,0.3589,0.2213,0.3699,0.0998,0.1214,0.1487,0.1434,0.2339
no_contact_behavior_clone,peg_insertion,stick_slip_transition,combined_stress,0,84,0.381,0.3226,0.2117,0.373,0.1109,0.1442,0.1487,0.154,0.2362
no_contact_behavior_clone,peg_insertion,stick_slip_transition,combined_stress,1,84,0.3333,0.3039,0.2154,0.3895,0.1157,0.1532,0.1494,0.154,0.2354
no_contact_behavior_clone,peg_insertion,stick_slip_transition,combined_stress,2,84,0.3095,0.3098,0.23,0.3894,0.1176,0.1495,0.151,0.154,0.244
no_contact_behavior_clone,peg_insertion,stick_slip_transition,combined_stress,3,84,0.3929,0.3101,0.2084,0.3864,0.1166,0.1446,0.1415,0.154,0.2415
no_contact_behavior_clone,peg_insertion,stick_slip_transition,combined_stress,4,84,0.3571,0.3122,0.2061,0.3889,0.11,0.142,0.1544,0.154,0.2291
no_contact_behavior_clone,peg_insertion,stick_slip_transition,combined_stress,5,84,0.3214,0.3012,0.2107,0.3923,0.1129,0.1431,0.1507,0.154,0.2507
no_contact_behavior_clone,peg_insertion,stick_slip_transition,combined_stress,6,84,0.3095,0.3078,0.208,0.3905,0.1217,0.1318,0.1581,0.154,0.2345
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,nominal,0,84,0.4167,0.458,0.2391,0.3147,0.083,0.0746,0.0499,0.1198,0.2586
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,nominal,1,84,0.4881,0.4595,0.2566,0.3124,0.0778,0.069,0.0407,0.1198,0.2567
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,nominal,2,84,0.4405,0.4674,0.2613,0.3124,0.0736,0.081,0.05,0.1198,0.2489
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,nominal,3,84,0.4405,0.4612,0.2552,0.3228,0.0711,0.0723,0.0403,0.1198,0.2549
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,nominal,4,84,0.4524,0.4602,0.2468,0.3145,0.0828,0.0717,0.043,0.1198,0.2565
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,nominal,5,84,0.369,0.459,0.2369,0.3194,0.0661,0.086,0.0449,0.1198,0.2634
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,nominal,6,84,0.4167,0.4639,0.2514,0.3114,0.0657,0.0748,0.0465,0.1198,0.2694
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,seen_shift,0,84,0.5,0.4141,0.2419,0.3292,0.0831,0.0968,0.0699,0.1317,0.2399
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,seen_shift,1,84,0.369,0.3867,0.2223,0.3481,0.0935,0.1006,0.0606,0.1317,0.252
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,seen_shift,2,84,0.4524,0.4151,0.2478,0.333,0.0884,0.0968,0.0697,0.1317,0.2489
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,seen_shift,3,84,0.369,0.4118,0.2379,0.3252,0.093,0.1013,0.0644,0.1317,0.2567
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,seen_shift,4,84,0.3571,0.4089,0.251,0.3388,0.0911,0.1081,0.0665,0.1317,0.2539
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,seen_shift,5,84,0.3452,0.4117,0.246,0.3247,0.0899,0.1013,0.0662,0.1317,0.256
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,seen_shift,6,84,0.4167,0.4082,0.2162,0.3423,0.0952,0.1027,0.0643,0.1317,0.2543
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,unseen_geometry,0,84,0.2857,0.385,0.2393,0.3504,0.107,0.1113,0.0658,0.1376,0.244
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,unseen_geometry,1,84,0.4286,0.3786,0.2291,0.3526,0.1033,0.1102,0.0712,0.1376,0.2521
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,unseen_geometry,2,84,0.3571,0.3905,0.2258,0.3553,0.1068,0.1124,0.0691,0.1376,0.2452
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,unseen_geometry,3,84,0.4048,0.3677,0.2357,0.343,0.1049,0.1112,0.0749,0.1376,0.2483
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,unseen_geometry,4,84,0.3452,0.3809,0.2459,0.3448,0.1119,0.1038,0.0673,0.1376,0.2448
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,unseen_geometry,5,84,0.4524,0.3811,0.2192,0.3427,0.1022,0.1038,0.0745,0.1376,0.245
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,unseen_geometry,6,84,0.4286,0.3731,0.2412,0.3541,0.0999,0.114,0.0738,0.1376,0.2531
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,unseen_friction,0,84,0.4167,0.3719,0.2313,0.3512,0.0989,0.1031,0.1081,0.141,0.2353
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,unseen_friction,1,84,0.3333,0.3672,0.2122,0.3538,0.0965,0.1125,0.1036,0.141,0.246
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,unseen_friction,2,84,0.4286,0.3904,0.2246,0.3452,0.1012,0.1106,0.1147,0.141,0.2582
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,unseen_friction,3,84,0.381,0.3828,0.2149,0.3417,0.0952,0.1117,0.1118,0.141,0.2368
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,unseen_friction,4,84,0.3929,0.38,0.2339,0.3466,0.095,0.1203,0.1109,0.141,0.2465
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,unseen_friction,5,84,0.3333,0.3624,0.2374,0.3527,0.1087,0.1077,0.1047,0.141,0.2409
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,unseen_friction,6,84,0.3452,0.3775,0.241,0.3499,0.0969,0.1102,0.1096,0.141,0.2516
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,combined_stress,0,84,0.25,0.3259,0.1892,0.3709,0.113,0.1164,0.1079,0.1512,0.2208
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,combined_stress,1,84,0.3214,0.3175,0.2121,0.3707,0.117,0.1331,0.1117,0.1512,0.2386
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,combined_stress,2,84,0.381,0.3278,0.2141,0.3684,0.1169,0.1313,0.1212,0.1512,0.2515
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,combined_stress,3,84,0.369,0.3264,0.2096,0.3657,0.1204,0.126,0.119,0.1512,0.2397
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,combined_stress,4,84,0.3095,0.3258,0.2078,0.3697,0.1145,0.1191,0.1256,0.1512,0.2436
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,combined_stress,5,84,0.3929,0.3262,0.208,0.3746,0.1206,0.1196,0.1179,0.1512,0.2428
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,combined_stress,6,84,0.3095,0.3304,0.2149,0.3777,0.1255,0.1178,0.1156,0.1512,0.2304
no_contact_behavior_clone,peg_insertion,contact_jamming,nominal,0,84,0.369,0.4316,0.2663,0.3272,0.0835,0.1273,0.0481,0.1231,0.25
no_contact_behavior_clone,peg_insertion,contact_jamming,nominal,1,84,0.381,0.4317,0.2345,0.3286,0.0833,0.1246,0.062,0.1231,0.2612
no_contact_behavior_clone,peg_insertion,contact_jamming,nominal,2,84,0.3333,0.4411,0.2478,0.3225,0.0818,0.1265,0.0479,0.1231,0.2663
no_contact_behavior_clone,peg_insertion,contact_jamming,nominal,3,84,0.381,0.4345,0.2395,0.3235,0.085,0.1386,0.0506,0.1231,0.2679
no_contact_behavior_clone,peg_insertion,contact_jamming,nominal,4,84,0.4405,0.4252,0.2568,0.3299,0.0832,0.12,0.0499,0.1231,0.2812
no_contact_behavior_clone,peg_insertion,contact_jamming,nominal,5,84,0.3929,0.4303,0.2562,0.341,0.0776,0.1246,0.0436,0.1231,0.2668
no_contact_behavior_clone,peg_insertion,contact_jamming,nominal,6,84,0.5238,0.4307,0.2342,0.3339,0.0845,0.1226,0.0479,0.1231,0.2642
no_contact_behavior_clone,peg_insertion,contact_jamming,seen_shift,0,84,0.4167,0.3698,0.2287,0.348,0.1012,0.1507,0.0722,0.1358,0.2494
no_contact_behavior_clone,peg_insertion,contact_jamming,seen_shift,1,84,0.3214,0.3739,0.2647,0.3493,0.1076,0.1617,0.0697,0.1358,0.2527
no_contact_behavior_clone,peg_insertion,contact_jamming,seen_shift,2,84,0.3929,0.3836,0.2296,0.3406,0.1001,0.1537,0.0745,0.1358,0.2504
no_contact_behavior_clone,peg_insertion,contact_jamming,seen_shift,3,84,0.3214,0.3738,0.235,0.3398,0.1005,0.1599,0.0751,0.1358,0.2557
no_contact_behavior_clone,peg_insertion,contact_jamming,seen_shift,4,84,0.381,0.3802,0.2393,0.3349,0.1106,0.1565,0.0783,0.1358,0.273
no_contact_behavior_clone,peg_insertion,contact_jamming,seen_shift,5,84,0.4048,0.3723,0.227,0.3486,0.1015,0.1583,0.0626,0.1358,0.2537
no_contact_behavior_clone,peg_insertion,contact_jamming,seen_shift,6,84,0.3452,0.3776,0.2281,0.3368,0.098,0.1455,0.0668,0.1358,0.2609
no_contact_behavior_clone,peg_insertion,contact_jamming,unseen_geometry,0,84,0.4048,0.3413,0.2238,0.3676,0.1239,0.1857,0.0746,0.1422,0.2497
no_contact_behavior_clone,peg_insertion,contact_jamming,unseen_geometry,1,84,0.4048,0.3108,0.2257,0.3707,0.1127,0.1867,0.0722,0.1422,0.2445
no_contact_behavior_clone,peg_insertion,contact_jamming,unseen_geometry,2,84,0.2738,0.3362,0.2341,0.3559,0.1173,0.1921,0.0746,0.1422,0.2506
no_contact_behavior_clone,peg_insertion,contact_jamming,unseen_geometry,3,84,0.3214,0.329,0.2271,0.3688,0.1224,0.1927,0.0731,0.1422,0.2376
no_contact_behavior_clone,peg_insertion,contact_jamming,unseen_geometry,4,84,0.25,0.3399,0.2258,0.3637,0.1117,0.191,0.0718,0.1422,0.2486
no_contact_behavior_clone,peg_insertion,contact_jamming,unseen_geometry,5,84,0.3571,0.318,0.2301,0.3557,0.117,0.1879,0.0845,0.1422,0.2576
no_contact_behavior_clone,peg_insertion,contact_jamming,unseen_geometry,6,84,0.2143,0.3274,0.2237,0.3494,0.1251,0.1779,0.0738,0.1422,0.2489
no_contact_behavior_clone,peg_insertion,contact_jamming,unseen_friction,0,84,0.3214,0.3301,0.2336,0.363,0.1175,0.1637,0.1158,0.1458,0.2538
no_contact_behavior_clone,peg_insertion,contact_jamming,unseen_friction,1,84,0.2857,0.3386,0.2288,0.3638,0.1158,0.1669,0.1189,0.1458,0.2502
no_contact_behavior_clone,peg_insertion,contact_jamming,unseen_friction,2,84,0.3929,0.3238,0.2115,0.3628,0.1143,0.1802,0.1121,0.1458,0.2403
no_contact_behavior_clone,peg_insertion,contact_jamming,unseen_friction,3,84,0.4524,0.3394,0.2084,0.3615,0.1118,0.163,0.1045,0.1458,0.2432
no_contact_behavior_clone,peg_insertion,contact_jamming,unseen_friction,4,84,0.369,0.3383,0.2207,0.3608,0.1135,0.1619,0.1164,0.1458,0.2305
no_contact_behavior_clone,peg_insertion,contact_jamming,unseen_friction,5,84,0.3333,0.3353,0.2254,0.3584,0.112,0.1641,0.1188,0.1458,0.2328
no_contact_behavior_clone,peg_insertion,contact_jamming,unseen_friction,6,84,0.3214,0.3172,0.2035,0.3582,0.1196,0.1635,0.1172,0.1458,0.2379
no_contact_behavior_clone,peg_insertion,contact_jamming,combined_stress,0,84,0.25,0.2854,0.2126,0.3824,0.1413,0.2113,0.1148,0.1567,0.2327
no_contact_behavior_clone,peg_insertion,contact_jamming,combined_stress,1,84,0.2857,0.2858,0.2287,0.379,0.1319,0.1943,0.1123,0.1567,0.2385
no_contact_behavior_clone,peg_insertion,contact_jamming,combined_stress,2,84,0.2738,0.2805,0.2102,0.384,0.1315,0.2047,0.1167,0.1567,0.2306
