method,split,seed,groups,mean_success,ci95_success,mean_utility,ci95_utility,mean_contact_mode_f1,ci95_contact_mode_f1,mean_boundary_error,ci95_boundary_error,mean_complementarity_residual,ci95_complementarity_residual,mean_impulse_violation,ci95_impulse_violation,mean_unsafe_impulse,ci95_unsafe_impulse,mean_jam_rate,ci95_jam_rate,mean_slip_overshoot,ci95_slip_overshoot,mean_mode_switch_latency,ci95_mode_switch_latency,mean_recovery_success,ci95_recovery_success,mean_energy_spike,ci95_energy_spike,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_fixed_risk_coverage,ci95_fixed_risk_coverage,mean_regret_to_oracle,ci95_regret_to_oracle
no_contact_behavior_clone,seen_contact_shift,0,80,0.425,0.046088,0.390109,0.045852,0.197216,0.001529,0.305098,0.006084,0.117187,0.00443,0.09477,0.005655,0.063064,0.003371,0.07931,0.004509,0.076436,0.003564,0.068655,0.003524,0.196974,0.001741,0.09096,0.004566,0.086854,0.001036,0.129363,0.000734,0.335913,0.001038,0.308333,0.0
no_contact_behavior_clone,seen_contact_shift,1,80,0.416667,0.046851,0.381311,0.046744,0.196482,0.001529,0.304842,0.006316,0.11724,0.004399,0.094061,0.005679,0.062329,0.003355,0.079444,0.004383,0.07578,0.003452,0.069529,0.003455,0.197708,0.001832,0.09088,0.004382,0.08768,0.000931,0.129067,0.000643,0.336106,0.001025,0.372917,0.0
no_contact_behavior_clone,seen_contact_shift,2,80,0.441667,0.047955,0.404462,0.048441,0.196185,0.001691,0.305766,0.006081,0.117556,0.004349,0.094591,0.005449,0.061906,0.003392,0.079204,0.004542,0.076353,0.00352,0.068747,0.003429,0.199474,0.00178,0.091651,0.004403,0.087877,0.001066,0.129863,0.000623,0.336254,0.00103,0.335417,0.0
no_contact_behavior_clone,seen_contact_shift,3,80,0.410417,0.0486,0.376501,0.047421,0.19581,0.001634,0.304461,0.006183,0.117614,0.004299,0.093933,0.005697,0.062049,0.003462,0.079596,0.0046,0.076286,0.003507,0.068877,0.003345,0.197344,0.001604,0.090347,0.004481,0.087478,0.001047,0.12944,0.000592,0.336071,0.001046,0.310417,0.0
no_contact_behavior_clone,seen_contact_shift,4,80,0.454167,0.043477,0.416863,0.044133,0.196125,0.001334,0.304775,0.00607,0.117809,0.004476,0.094551,0.005675,0.062318,0.003484,0.078931,0.004413,0.076591,0.00357,0.069622,0.003153,0.197192,0.001688,0.090937,0.004325,0.087968,0.001109,0.129189,0.00064,0.336063,0.001047,0.302083,0.0
no_contact_behavior_clone,seen_contact_shift,5,80,0.410417,0.044235,0.37528,0.0434,0.197399,0.001507,0.306592,0.006298,0.116791,0.004331,0.094107,0.005476,0.062188,0.003538,0.078671,0.004629,0.076429,0.003516,0.068807,0.00325,0.200489,0.001782,0.091225,0.004329,0.088616,0.001135,0.129514,0.000693,0.33632,0.001059,0.34375,0.0
no_contact_behavior_clone,seen_contact_shift,6,80,0.41875,0.041088,0.382027,0.04134,0.195545,0.001709,0.304648,0.006108,0.117233,0.004231,0.094334,0.005728,0.06181,0.003461,0.079487,0.004567,0.076633,0.003379,0.069399,0.003379,0.198043,0.001875,0.091331,0.004331,0.087044,0.000962,0.130292,0.000671,0.336132,0.001029,0.345833,0.0
no_contact_behavior_clone,seen_contact_shift,7,80,0.416667,0.042703,0.379586,0.043228,0.198466,0.001685,0.305975,0.006207,0.117268,0.004211,0.094367,0.005533,0.062402,0.003406,0.079179,0.004485,0.076216,0.003606,0.069168,0.003344,0.198801,0.001771,0.090879,0.004369,0.087996,0.001039,0.129956,0.000697,0.336152,0.001024,0.360417,0.0
no_contact_behavior_clone,seen_contact_shift,8,80,0.45625,0.042203,0.419995,0.041896,0.197008,0.001879,0.306077,0.005897,0.11747,0.004337,0.094951,0.005669,0.063455,0.00344,0.079625,0.004494,0.076075,0.003474,0.069,0.0035,0.198072,0.001746,0.091261,0.004316,0.088172,0.001029,0.129141,0.000695,0.335918,0.00103,0.28125,0.0
no_contact_behavior_clone,seen_contact_shift,9,80,0.4375,0.044017,0.401908,0.043059,0.19718,0.001699,0.305732,0.006157,0.11787,0.004499,0.09503,0.005515,0.062084,0.003558,0.079506,0.004693,0.075458,0.003467,0.069623,0.00322,0.199435,0.001706,0.091067,0.004406,0.087523,0.001005,0.129335,0.000727,0.336266,0.001024,0.275,0.0
no_contact_behavior_clone,unseen_geometry,0,80,0.397917,0.044063,0.352854,0.043603,0.188168,0.001341,0.321495,0.007152,0.132989,0.005534,0.112418,0.006817,0.068421,0.003793,0.090508,0.005666,0.083595,0.003548,0.07559,0.003626,0.185676,0.001929,0.09873,0.004726,0.100946,0.001204,0.134112,0.000656,0.321539,0.001176,0.354167,0.0
no_contact_behavior_clone,unseen_geometry,1,80,0.404167,0.046042,0.3596,0.045986,0.187374,0.001736,0.320197,0.007032,0.133089,0.005344,0.111982,0.007173,0.068634,0.003721,0.091155,0.005787,0.084405,0.003588,0.074504,0.00377,0.186355,0.001835,0.098688,0.004818,0.101314,0.00108,0.134103,0.000699,0.321418,0.001162,0.31875,0.0
no_contact_behavior_clone,unseen_geometry,2,80,0.425,0.047531,0.382459,0.046163,0.187821,0.001471,0.320999,0.007105,0.131919,0.005346,0.111125,0.007091,0.068989,0.003861,0.091104,0.005737,0.082904,0.0036,0.075954,0.003839,0.184745,0.001866,0.099057,0.004863,0.101077,0.000947,0.133939,0.000579,0.321394,0.001191,0.289583,0.0
no_contact_behavior_clone,unseen_geometry,3,80,0.38125,0.044709,0.338881,0.043722,0.186736,0.001593,0.320383,0.007343,0.132656,0.005352,0.111487,0.007121,0.068534,0.00373,0.090672,0.005809,0.083585,0.003451,0.075478,0.00371,0.184607,0.001551,0.099188,0.004763,0.100651,0.001065,0.133594,0.000654,0.321442,0.001185,0.35,0.0
no_contact_behavior_clone,unseen_geometry,4,80,0.4125,0.043087,0.368245,0.042186,0.187577,0.001822,0.321032,0.007274,0.132578,0.005491,0.112164,0.007152,0.068623,0.003944,0.090859,0.005812,0.083103,0.00356,0.07537,0.003705,0.185536,0.001912,0.098644,0.004735,0.10134,0.001072,0.133752,0.000612,0.321505,0.001205,0.327083,0.0
no_contact_behavior_clone,unseen_geometry,5,80,0.38125,0.043948,0.338548,0.042798,0.186581,0.001447,0.320702,0.007366,0.132078,0.005448,0.11212,0.007162,0.068115,0.003984,0.089682,0.005717,0.082842,0.003564,0.07553,0.003751,0.185433,0.001693,0.098317,0.004836,0.10153,0.001135,0.133699,0.00068,0.321713,0.001191,0.379167,0.0
no_contact_behavior_clone,unseen_geometry,6,80,0.375,0.042505,0.330756,0.04191,0.187747,0.001613,0.320872,0.007528,0.132107,0.00546,0.112102,0.007079,0.069206,0.003883,0.090773,0.005618,0.082605,0.003543,0.075961,0.003555,0.184162,0.001717,0.098566,0.004804,0.100662,0.001045,0.133684,0.00064,0.321383,0.001185,0.39375,0.0
no_contact_behavior_clone,unseen_geometry,7,80,0.408333,0.047174,0.362865,0.047261,0.186974,0.001689,0.321032,0.007283,0.132194,0.005556,0.112002,0.007206,0.068664,0.003805,0.090598,0.005735,0.083163,0.003698,0.076488,0.003737,0.18516,0.001841,0.099147,0.00474,0.100479,0.001236,0.133274,0.000742,0.321497,0.001207,0.333333,0.0
no_contact_behavior_clone,unseen_geometry,8,80,0.404167,0.044928,0.359191,0.044555,0.187743,0.001716,0.320099,0.007401,0.132344,0.005413,0.111957,0.007173,0.068992,0.004047,0.090903,0.005711,0.083261,0.003632,0.075373,0.003751,0.185743,0.001906,0.098922,0.005004,0.100488,0.001183,0.133474,0.00065,0.321445,0.001197,0.325,0.0
no_contact_behavior_clone,unseen_geometry,9,80,0.36875,0.042582,0.32524,0.042045,0.18659,0.00122,0.320762,0.007436,0.132294,0.005455,0.111792,0.007157,0.068646,0.003702,0.090761,0.005658,0.08295,0.003706,0.075462,0.003578,0.185144,0.001652,0.09935,0.004835,0.100804,0.001179,0.133609,0.000618,0.3215,0.001166,0.333333,0.0
no_contact_behavior_clone,unseen_friction,0,80,0.379167,0.044627,0.332,0.043506,0.181423,0.001387,0.31651,0.006787,0.132079,0.00511,0.105576,0.006289,0.070453,0.003951,0.084425,0.004904,0.131353,0.005198,0.077926,0.003956,0.178526,0.001875,0.102536,0.004864,0.107846,0.001124,0.136676,0.000731,0.311193,0.001237,0.35625,0.0
no_contact_behavior_clone,unseen_friction,1,80,0.372917,0.038214,0.325415,0.037975,0.181272,0.001393,0.315734,0.006906,0.131958,0.004995,0.10462,0.006383,0.069666,0.003923,0.084146,0.004664,0.131656,0.005177,0.078691,0.003914,0.177608,0.001757,0.102071,0.005019,0.107467,0.00115,0.136547,0.000704,0.31126,0.001218,0.29375,0.0
no_contact_behavior_clone,unseen_friction,2,80,0.372917,0.042403,0.325167,0.041551,0.18071,0.001569,0.315847,0.006751,0.132365,0.005046,0.105677,0.006189,0.070205,0.003908,0.083466,0.004555,0.131484,0.00517,0.078753,0.003779,0.177419,0.001798,0.102369,0.004952,0.106925,0.000981,0.135907,0.000664,0.311249,0.001192,0.370833,0.0
no_contact_behavior_clone,unseen_friction,3,80,0.329167,0.041081,0.281365,0.040388,0.180652,0.001624,0.3166,0.006957,0.131202,0.005032,0.105457,0.006048,0.068899,0.003805,0.084174,0.004665,0.131234,0.005066,0.079086,0.003728,0.175644,0.001727,0.102543,0.005146,0.107647,0.000926,0.136155,0.000623,0.311288,0.001194,0.383333,0.0
no_contact_behavior_clone,unseen_friction,4,80,0.383333,0.037839,0.335968,0.037635,0.181943,0.001413,0.316847,0.006764,0.131731,0.005035,0.105176,0.006207,0.069809,0.003832,0.083952,0.004666,0.131592,0.005212,0.079372,0.003833,0.178794,0.001668,0.10146,0.004982,0.108537,0.001167,0.136696,0.000624,0.311334,0.001188,0.35,0.0
no_contact_behavior_clone,unseen_friction,5,80,0.425,0.047174,0.3772,0.046919,0.181295,0.001488,0.316516,0.006621,0.131449,0.005085,0.104676,0.006284,0.070287,0.003871,0.08408,0.00472,0.131086,0.00506,0.078702,0.003776,0.178382,0.001946,0.102288,0.005101,0.107093,0.001129,0.136572,0.00065,0.311265,0.00119,0.325,0.0
no_contact_behavior_clone,unseen_friction,6,80,0.402083,0.052201,0.356374,0.050931,0.182673,0.001469,0.316494,0.006951,0.131476,0.004711,0.104379,0.006207,0.069774,0.0039,0.084126,0.004732,0.130938,0.005173,0.078443,0.003721,0.176383,0.001555,0.102732,0.005123,0.107157,0.001112,0.136957,0.000525,0.311229,0.00121,0.339583,0.0
no_contact_behavior_clone,unseen_friction,7,80,0.404167,0.039317,0.355133,0.038995,0.181772,0.001656,0.316151,0.006709,0.131037,0.004944,0.105081,0.006117,0.07076,0.003874,0.083371,0.004552,0.130393,0.005263,0.077966,0.003856,0.177264,0.001717,0.102584,0.005081,0.107637,0.001003,0.135982,0.000579,0.311253,0.001204,0.320833,0.0
no_contact_behavior_clone,unseen_friction,8,80,0.4,0.045237,0.351642,0.04466,0.181382,0.001539,0.315351,0.006796,0.130903,0.004999,0.105025,0.006152,0.069935,0.003964,0.083491,0.004628,0.130841,0.005304,0.07924,0.004025,0.178285,0.001814,0.102296,0.005039,0.108451,0.000974,0.137287,0.000744,0.31139,0.001224,0.339583,0.0
no_contact_behavior_clone,unseen_friction,9,80,0.35,0.037929,0.302095,0.037786,0.18188,0.001601,0.315164,0.006729,0.131777,0.005088,0.104639,0.006222,0.069974,0.003882,0.083176,0.004872,0.130973,0.005311,0.078961,0.003835,0.176892,0.001678,0.102305,0.004986,0.108193,0.001194,0.136163,0.000681,0.311322,0.001211,0.395833,0.0
no_contact_behavior_clone,unseen_compliance,0,80,0.4125,0.045004,0.362191,0.044735,0.18001,0.001572,0.329326,0.007576,0.137174,0.00548,0.110471,0.006624,0.072881,0.00405,0.092492,0.00548,0.098057,0.004144,0.080711,0.004099,0.170885,0.00166,0.104794,0.005169,0.114219,0.000971,0.13922,0.000595,0.307427,0.001235,0.358333,0.0
no_contact_behavior_clone,unseen_compliance,1,80,0.370833,0.044627,0.321335,0.044005,0.17898,0.001488,0.328148,0.007555,0.136836,0.00549,0.11096,0.006785,0.072892,0.004053,0.091899,0.005471,0.098967,0.00395,0.081151,0.004005,0.173322,0.001793,0.105312,0.005337,0.114635,0.001115,0.138542,0.000724,0.307558,0.00124,0.322917,0.0
no_contact_behavior_clone,unseen_compliance,2,80,0.354167,0.043243,0.305642,0.042268,0.178561,0.001938,0.329668,0.007622,0.136591,0.005562,0.110953,0.006421,0.073262,0.004203,0.091676,0.005432,0.099075,0.004009,0.081176,0.004085,0.17189,0.001692,0.104619,0.005262,0.113417,0.00093,0.138861,0.000681,0.307431,0.001247,0.38125,0.0
no_contact_behavior_clone,unseen_compliance,3,80,0.383333,0.042861,0.334591,0.041654,0.180733,0.001431,0.329181,0.007559,0.136734,0.005385,0.111102,0.006806,0.072904,0.004131,0.091784,0.005565,0.099062,0.004014,0.081584,0.004227,0.174057,0.001869,0.104909,0.005189,0.11424,0.001061,0.138277,0.000653,0.307604,0.001237,0.33125,0.0
no_contact_behavior_clone,unseen_compliance,4,80,0.35,0.042545,0.300844,0.041663,0.178701,0.001457,0.329599,0.007536,0.137039,0.005354,0.109873,0.006667,0.07293,0.004009,0.091904,0.005511,0.099304,0.004139,0.081993,0.003979,0.173911,0.001615,0.10584,0.005346,0.114242,0.001052,0.138131,0.000742,0.30756,0.001259,0.364583,0.0
no_contact_behavior_clone,unseen_compliance,5,80,0.441667,0.046887,0.389631,0.047179,0.179806,0.00161,0.329305,0.007598,0.137037,0.005431,0.110958,0.006734,0.072874,0.004221,0.092484,0.005676,0.098808,0.003866,0.081392,0.003827,0.173777,0.001627,0.105154,0.005175,0.11418,0.001132,0.138014,0.00061,0.307542,0.001249,0.272917,0.0
no_contact_behavior_clone,unseen_compliance,6,80,0.39375,0.039088,0.341064,0.039098,0.179292,0.001425,0.328715,0.00759,0.136817,0.005233,0.111291,0.00677,0.073368,0.004022,0.092537,0.005531,0.098487,0.003774,0.080937,0.003845,0.173243,0.001836,0.1054,0.005196,0.113688,0.001121,0.138965,0.000753,0.307457,0.001217,0.327083,0.0
no_contact_behavior_clone,unseen_compliance,7,80,0.4,0.041743,0.349852,0.041013,0.178986,0.001623,0.328825,0.00762,0.137245,0.005504,0.110411,0.006735,0.073132,0.004183,0.092571,0.00534,0.098816,0.004053,0.081322,0.003883,0.173154,0.001644,0.105425,0.005304,0.11402,0.001078,0.138703,0.000648,0.307457,0.001201,0.345833,0.0
no_contact_behavior_clone,unseen_compliance,8,80,0.391667,0.045794,0.342299,0.044946,0.179247,0.001513,0.328982,0.007696,0.137385,0.005263,0.110832,0.006747,0.072627,0.004241,0.092116,0.005519,0.098907,0.004031,0.081565,0.004111,0.173652,0.001808,0.105313,0.00525,0.113871,0.001105,0.137687,0.000637,0.307601,0.001239,0.3,0.0
no_contact_behavior_clone,unseen_compliance,9,80,0.366667,0.041662,0.31407,0.041929,0.179527,0.00149,0.328725,0.007695,0.136421,0.005435,0.111329,0.006518,0.072744,0.00417,0.09276,0.005395,0.099119,0.004109,0.081059,0.004016,0.173653,0.00174,0.105558,0.005261,0.114117,0.001076,0.137814,0.000663,0.307502,0.001244,0.366667,0.0
no_contact_behavior_clone,actuator_latency,0,80,0.416667,0.045386,0.367356,0.044435,0.17929,0.001668,0.328885,0.00797,0.136763,0.005334,0.108938,0.006439,0.078641,0.004689,0.086713,0.004967,0.096209,0.003819,0.09373,0.005357,0.174706,0.001626,0.105543,0.005181,0.113795,0.001199,0.138515,0.000693,0.307518,0.00128,0.283333,0.0
no_contact_behavior_clone,actuator_latency,1,80,0.3875,0.045674,0.338362,0.04486,0.179795,0.001738,0.32945,0.007842,0.137103,0.005322,0.109262,0.006557,0.078466,0.004666,0.086362,0.005187,0.097656,0.003885,0.09291,0.00561,0.174529,0.001577,0.105654,0.004956,0.114459,0.001102,0.138409,0.000739,0.307453,0.00126,0.333333,0.0
no_contact_behavior_clone,actuator_latency,2,80,0.385417,0.046704,0.33765,0.045321,0.179371,0.001508,0.328806,0.007688,0.135594,0.005277,0.108365,0.006528,0.078119,0.004655,0.086407,0.004864,0.096948,0.003987,0.0935,0.005486,0.173704,0.001743,0.104865,0.005198,0.114063,0.001115,0.138045,0.000714,0.307508,0.001235,0.35,0.0
no_contact_behavior_clone,actuator_latency,3,80,0.402083,0.039709,0.351115,0.039175,0.179544,0.001497,0.327682,0.007774,0.135911,0.005292,0.110139,0.006606,0.078879,0.004737,0.086661,0.005012,0.097717,0.004062,0.094035,0.005637,0.172397,0.00181,0.106549,0.005215,0.114619,0.001011,0.138958,0.000635,0.307229,0.001294,0.316667,0.0
no_contact_behavior_clone,actuator_latency,4,80,0.397917,0.044063,0.348933,0.042896,0.18088,0.00153,0.328636,0.007815,0.136216,0.005218,0.109051,0.006507,0.077974,0.004577,0.085865,0.00488,0.09703,0.004048,0.092777,0.005778,0.173166,0.001742,0.104147,0.005139,0.113558,0.001186,0.137558,0.000575,0.307545,0.001247,0.327083,0.0
no_contact_behavior_clone,actuator_latency,5,80,0.410417,0.046104,0.360907,0.044202,0.180257,0.001586,0.328374,0.007578,0.136331,0.005477,0.109768,0.006414,0.078762,0.004548,0.086998,0.004942,0.09726,0.003861,0.094612,0.00556,0.17325,0.001868,0.105005,0.005117,0.114073,0.001064,0.138198,0.000669,0.3073,0.00124,0.28125,0.0
no_contact_behavior_clone,actuator_latency,6,80,0.38125,0.047279,0.33254,0.045691,0.179815,0.001536,0.328964,0.007901,0.13624,0.005258,0.109355,0.006546,0.078404,0.004711,0.086861,0.004867,0.097049,0.004028,0.093748,0.005528,0.172996,0.001929,0.104386,0.005083,0.114131,0.001154,0.138077,0.000648,0.307369,0.001257,0.3625,0.0
no_contact_behavior_clone,actuator_latency,7,80,0.3875,0.042216,0.338729,0.040992,0.179703,0.001483,0.328761,0.007624,0.136871,0.0054,0.10981,0.006718,0.078545,0.004808,0.086,0.004836,0.097064,0.003782,0.093658,0.005629,0.173239,0.001715,0.1045,0.005375,0.113804,0.001029,0.138661,0.000715,0.307447,0.001231,0.33125,0.0
no_contact_behavior_clone,actuator_latency,8,80,0.408333,0.044218,0.356505,0.044015,0.179762,0.001513,0.328764,0.00748,0.135494,0.005292,0.109232,0.006631,0.07848,0.004875,0.086104,0.004879,0.097412,0.003983,0.09347,0.005652,0.172354,0.001792,0.104568,0.005192,0.11365,0.00095,0.138245,0.000675,0.307366,0.001285,0.339583,0.0
no_contact_behavior_clone,actuator_latency,9,80,0.40625,0.041027,0.354999,0.040881,0.181572,0.001653,0.328847,0.007823,0.136574,0.005271,0.109479,0.006424,0.077637,0.004501,0.086153,0.004815,0.097379,0.003945,0.093927,0.00553,0.175852,0.001629,0.10502,0.005303,0.113065,0.001097,0.138296,0.00073,0.3077,0.001226,0.325,0.0
no_contact_behavior_clone,sensor_dropout,0,80,0.35,0.048827,0.302089,0.046075,0.15965,0.001322,0.325354,0.007528,0.138212,0.005377,0.112494,0.006825,0.074559,0.004309,0.088103,0.005151,0.100799,0.004106,0.099517,0.004422,0.149388,0.00161,0.106095,0.005307,0.114459,0.001057,0.139437,0.000659,0.304505,0.001204,0.35,0.0
no_contact_behavior_clone,sensor_dropout,1,80,0.36875,0.040132,0.316923,0.038387,0.159653,0.001547,0.325274,0.007504,0.138674,0.005402,0.111441,0.006789,0.0738,0.004369,0.088473,0.005114,0.100494,0.004114,0.099454,0.004454,0.150376,0.001942,0.10709,0.005439,0.115207,0.001126,0.139426,0.000682,0.304666,0.001249,0.366667,0.0
no_contact_behavior_clone,sensor_dropout,2,80,0.379167,0.04025,0.323952,0.040442,0.160454,0.001409,0.326322,0.00719,0.138498,0.005244,0.112152,0.00684,0.07616,0.00437,0.088772,0.00521,0.100864,0.004044,0.099668,0.004415,0.150804,0.001793,0.106418,0.00539,0.115418,0.001071,0.139469,0.00064,0.304278,0.001257,0.389583,0.0
no_contact_behavior_clone,sensor_dropout,3,80,0.397917,0.042898,0.344993,0.041488,0.159544,0.001531,0.325864,0.007278,0.138209,0.005438,0.112344,0.006639,0.074437,0.004178,0.087874,0.005038,0.101014,0.004019,0.099058,0.004451,0.148014,0.001948,0.106056,0.005326,0.115555,0.000979,0.138773,0.000731,0.304447,0.001201,0.3375,0.0
no_contact_behavior_clone,sensor_dropout,4,80,0.385417,0.042143,0.330606,0.041583,0.159611,0.001606,0.324041,0.00718,0.137742,0.005321,0.112249,0.006817,0.074826,0.004365,0.088786,0.005145,0.101511,0.004032,0.099202,0.004471,0.150099,0.001803,0.10595,0.005377,0.115244,0.000927,0.139399,0.000652,0.304383,0.001239,0.31875,0.0
no_contact_behavior_clone,sensor_dropout,5,80,0.366667,0.042066,0.31193,0.042247,0.159613,0.001398,0.325525,0.007319,0.138498,0.005549,0.112117,0.006776,0.074434,0.004231,0.088656,0.005305,0.100505,0.00389,0.099225,0.004439,0.14887,0.001852,0.106139,0.005411,0.115549,0.001057,0.13993,0.000686,0.304461,0.001219,0.4,0.0
no_contact_behavior_clone,sensor_dropout,6,80,0.414583,0.043484,0.360608,0.042356,0.158022,0.001445,0.325761,0.007381,0.138019,0.005398,0.111628,0.006798,0.074762,0.004324,0.088631,0.005244,0.101106,0.003829,0.098962,0.00455,0.149557,0.001675,0.10597,0.005301,0.115582,0.000979,0.1393,0.000701,0.304408,0.00124,0.322917,0.0
no_contact_behavior_clone,sensor_dropout,7,80,0.397917,0.040467,0.343076,0.039729,0.160549,0.001522,0.326926,0.007395,0.13936,0.005502,0.112127,0.006575,0.075228,0.004207,0.08769,0.005204,0.100196,0.004253,0.099213,0.004342,0.149436,0.00164,0.106261,0.005255,0.114943,0.001093,0.139692,0.000593,0.304497,0.001229,0.345833,0.0
no_contact_behavior_clone,sensor_dropout,8,80,0.414583,0.041088,0.359834,0.040704,0.159144,0.001559,0.325487,0.007432,0.139058,0.005481,0.111504,0.006671,0.074721,0.004269,0.088788,0.005145,0.100467,0.004028,0.099024,0.004455,0.148241,0.001842,0.106213,0.005438,0.115068,0.001064,0.139202,0.000666,0.30437,0.001211,0.297917,0.0
no_contact_behavior_clone,sensor_dropout,9,80,0.3875,0.040584,0.334162,0.039823,0.160783,0.001464,0.325221,0.007264,0.13785,0.005426,0.112168,0.006704,0.07515,0.004239,0.087208,0.005154,0.100084,0.004034,0.098196,0.004327,0.15019,0.001801,0.106632,0.005396,0.115045,0.001047,0.139429,0.000606,0.304611,0.00124,0.354167,0.0
no_contact_behavior_clone,heldout_mixed_non_smooth_stress,0,80,0.354167,0.045526,0.291261,0.04475,0.161263,0.001624,0.345637,0.008568,0.153657,0.006551,0.127147,0.008156,0.082589,0.004805,0.099847,0.006241,0.136926,0.005159,0.098343,0.005037,0.149358,0.001687,0.116139,0.005857,0.13191,0.001166,0.144191,0.000595,0.284834,0.001452,0.345833,0.0
no_contact_behavior_clone,heldout_mixed_non_smooth_stress,1,80,0.354167,0.049095,0.292744,0.048349,0.162682,0.001521,0.344318,0.008514,0.153784,0.006291,0.127538,0.007972,0.083041,0.004881,0.100014,0.006151,0.13783,0.005247,0.098682,0.005218,0.151372,0.001881,0.115137,0.005928,0.132636,0.001233,0.144996,0.000526,0.284798,0.00145,0.333333,0.0
