rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
11,doi:10.15407/akademperiodyka.405.400,Eight Non-Classical Problems of Fracture Mechanics,2020,,https://doi.org/10.15407/akademperiodyka.405.400,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
12,doi:10.1007/978-3-030-77501-8_1,Division into Classical and Non-classical Problems of Fracture Mechanics,2022,Advanced Structured Materials Eight Non-Classical Problems of Fracture Mechanics,https://doi.org/10.1007/978-3-030-77501-8_1,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
13,doi:10.1016/j.cma.2017.10.030,A primal–dual predictor–corrector interior point method for non-smooth contact dynamics,2018,Computer Methods in Applied Mechanics and Engineering,https://doi.org/10.1016/j.cma.2017.10.030,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
14,doi:10.23919/eusipco63237.2025.11226418,Smoothing ADMM for Non-Convex and Non-Smooth Hierarchical Federated Learning,2025,2025 33rd European Signal Processing Conference (EUSIPCO),https://doi.org/10.23919/eusipco63237.2025.11226418,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
15,doi:10.1016/j.cma.2021.114153,A semi-smooth Newton and Primal–Dual Active Set method for Non-Smooth Contact Dynamics,2021,Computer Methods in Applied Mechanics and Engineering,https://doi.org/10.1016/j.cma.2021.114153,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
16,doi:10.3934/naco.2020004,"On a new smoothing technique for non-smooth, non-convex optimization",2020,"Numerical Algebra, Control & Optimization",https://doi.org/10.3934/naco.2020004,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
17,doi:10.1007/s40571-019-00233-4,An improvement of rigid bodies contact for particle-based non-smooth walls modeling,2019,Computational Particle Mechanics,https://doi.org/10.1007/s40571-019-00233-4,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
18,doi:10.1002/zamm.201300254,Non‐smooth dynamics of coil contact in valve springs,2014,ZAMM - Journal of Applied Mathematics and Mechanics / Zeitschrift für Angewandte Mathematik und Mechanik,https://doi.org/10.1002/zamm.201300254,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
19,doi:10.21203/rs.3.rs-5454949/v1,Contact force multiscale calculation in the framework of the non-smooth dynamic approach,,,https://doi.org/10.21203/rs.3.rs-5454949/v1,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
20,doi:10.1115/detc99/vib-8054,Non-Smooth Dynamics and Non-Classical Bifurcations in Impulse-Impact Oscillators,1999,Volume 7B: 17th Biennial Conference on Mechanical Vibration and Noise,https://doi.org/10.1115/detc99/vib-8054,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
21,doi:10.70286/isu-15.04.2026.018,INTERPHASE INCLUSION UNDER SMOOTH CONTACT WITH NON-HOMOGENEOUS ANISOTROPIC PLANE,2026,International Scientific Unity,https://doi.org/10.70286/isu-15.04.2026.018,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
22,doi:10.4271/2013-01-1119,Using Non-Smooth Mechanics and Parallelization Techniques for the Efficient Simulation of Different Types of Valve Springs,2013,SAE Technical Paper Series,https://doi.org/10.4271/2013-01-1119,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
23,doi:10.1016/j.cma.2007.06.002,A finite element formulation of non-smooth contact based on oriented volumes for quadrilateral and hexahedral elements,2007,Computer Methods in Applied Mechanics and Engineering,https://doi.org/10.1016/j.cma.2007.06.002,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
24,doi:10.1115/detc2010-29172,On a Solution Procedure to Synthesize Non-Smooth Path Generating Compliant Mechanisms With Self Contact,2010,"Volume 2: 34th Annual Mechanisms and Robotics Conference, Parts A and B",https://doi.org/10.1115/detc2010-29172,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
25,doi:10.1007/s10092-024-00629-6,Generalized convolution quadrature for non smooth sectorial problems,2025,Calcolo,https://doi.org/10.1007/s10092-024-00629-6,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
26,doi:10.1016/j.euromechsol.2016.01.007,The method of a floating frame of reference for non-smooth contact dynamics,2016,European Journal of Mechanics - A/Solids,https://doi.org/10.1016/j.euromechsol.2016.01.007,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
27,doi:10.1007/s12356-011-0019-3,Smooth/non-smooth contact modeling of human crowds movement: numerical aspects and application to emergency evacuations,2011,Annals of Solid and Structural Mechanics,https://doi.org/10.1007/s12356-011-0019-3,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
28,doi:10.1007/s00466-006-0074-5,Non-smooth Nonlinear Equations Methods for Solving 3D Elastoplastic Frictional Contact Problems,2007,Computational Mechanics,https://doi.org/10.1007/s00466-006-0074-5,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
29,doi:10.1016/j.ijengsci.2023.103879,Nonlocal gradient mechanics of nanobeams for non-smooth fields,2023,International Journal of Engineering Science,https://doi.org/10.1016/j.ijengsci.2023.103879,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
30,doi:10.1115/ijtc2009-15123,Contact Mechanics Analysis of a Rubber Piece on a Smooth Plate,2009,ASME/STLE 2009 International Joint Tribology Conference,https://doi.org/10.1115/ijtc2009-15123,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
31,doi:10.1007/s004660000202,A new non-smooth model for three dimensional frictional contact problems,2000,Computational Mechanics,https://doi.org/10.1007/s004660000202,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
32,doi:10.1016/0301-679x(95)00067-e,Microtribological problems of physics and mechanics in smooth surface contact,1996,Tribology International,https://doi.org/10.1016/0301-679x(95)00067-e,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
33,doi:10.4304/jnw.8.2.413-420,Optimality and Duality for Non-smooth Multiple Objective Semi-infinite Programming,2013,Journal of Networks,https://doi.org/10.4304/jnw.8.2.413-420,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
34,doi:10.5194/egusphere-egu23-13950,A non-smooth cohesive zone model for rock fracture and contact,,,https://doi.org/10.5194/egusphere-egu23-13950,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
35,doi:10.4028/www.scientific.net/amm.341-342.491,Numerical Simulation for Non-Smooth Contact Problem in Mechanical Systems,2013,Applied Mechanics and Materials,https://doi.org/10.4028/www.scientific.net/amm.341-342.491,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
36,doi:10.1016/j.rcim.2023.102573,Precise and smooth contact force control for a hybrid mobile robot used in polishing,2023,Robotics and Computer-Integrated Manufacturing,https://doi.org/10.1016/j.rcim.2023.102573,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
37,doi:10.1007/s10483-022-2811-5,Non-smooth dynamic modeling and simulation of an unmanned bicycle on a curved pavement,2022,Applied Mathematics and Mechanics,https://doi.org/10.1007/s10483-022-2811-5,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
38,doi:10.1007/978-3-319-40682-4_33,There Is No Flattening. There Is Self-contact and Contact with an Obstacle. Non Smooth Evolution,2017,Springer Series in Solid and Structural Mechanics Virtual Work and Shape Change in Solid Mechanics,https://doi.org/10.1007/978-3-319-40682-4_33,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
39,doi:10.1007/978-3-319-40682-4_31,There Is Neither Flattening nor Self-contact or Contact with an Obstacle. Non Smooth Evolution,2017,Springer Series in Solid and Structural Mechanics Virtual Work and Shape Change in Solid Mechanics,https://doi.org/10.1007/978-3-319-40682-4_31,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
40,doi:10.3390/info16060509,Incremental Weak Subgradient Methods for Non-Smooth Non-Convex Optimization Problems,2025,Information,https://doi.org/10.3390/info16060509,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
41,doi:10.1177/02783649922066673,"Modeling of Contact Mechanics and Friction Limit Surfaces for Soft Fingers in Robotics, with Experimental Results",1999,The International Journal of Robotics Research,https://doi.org/10.1177/02783649922066673,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
42,doi:10.1002/pamm.200700220,Experiments in non‐smooth mechanics with a passive‐actuated robotic arm,2007,PAMM,https://doi.org/10.1002/pamm.200700220,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
43,doi:10.1007/s10957-022-02105-z,Applications of Conic Programming in Non-smooth Mechanics,2024,Journal of Optimization Theory and Applications,https://doi.org/10.1007/s10957-022-02105-z,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
44,doi:10.1098/rsta.2023.0310,Non-smooth variational problems and applications in mechanics,2024,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",https://doi.org/10.1098/rsta.2023.0310,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
45,doi:10.5151/meceng-wccm2012-18460,SIMULATING GRANULAR COLUMN COLLAPSE BY NON-SMOOTH CONTACT DYNAMICS,2014,Blucher Mechanical Engineering Proceedings Proceedings of 10th World Congress on Computational Mechanics,https://doi.org/10.5151/meceng-wccm2012-18460,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
